Training begins...
Batch 0 | Loss: 3.801917
Batch 25 | Loss: 1.524842
Batch 50 | Loss: 1.231529
Batch 75 | Loss: 1.104749
Batch 100 | Loss: 1.069492
Batch 125 | Loss: 1.001888
Batch 150 | Loss: 1.042729
Batch 175 | Loss: 0.847084
Batch 200 | Loss: 0.880970
Batch 225 | Loss: 0.802826
Batch 250 | Loss: 0.811549
Batch 275 | Loss: 0.759617
Batch 300 | Loss: 0.671797
Batch 325 | Loss: 0.674716
Batch 350 | Loss: 0.711037
Batch 375 | Loss: 0.707660
Batch 400 | Loss: 0.658983
Batch 425 | Loss: 0.662999
Batch 450 | Loss: 0.611272
Batch 475 | Loss: 0.600923
Batch 500 | Loss: 0.572640
Batch 525 | Loss: 0.566401
Batch 550 | Loss: 0.522349
Batch 575 | Loss: 0.574881
Batch 600 | Loss: 0.563323
Batch 625 | Loss: 0.518395
Batch 650 | Loss: 0.509923
Batch 675 | Loss: 0.566568
Batch 700 | Loss: 0.531237
Batch 725 | Loss: 0.540969
Batch 750 | Loss: 0.536178
Batch 775 | Loss: 0.514065
Batch 800 | Loss: 0.474091
Batch 825 | Loss: 0.485760
Batch 850 | Loss: 0.524921
Batch 875 | Loss: 0.519792
Batch 900 | Loss: 0.495726
Batch 925 | Loss: 0.504883
Batch 950 | Loss: 0.510943
Batch 975 | Loss: 0.477071
Batch 1000 | Loss: 0.490677
Batch 1025 | Loss: 0.444266
Batch 1050 | Loss: 0.443564
Batch 1075 | Loss: 0.483943
Batch 1100 | Loss: 0.423039
Batch 1125 | Loss: 0.454743
Batch 1150 | Loss: 0.484891
Batch 1175 | Loss: 0.480896
Batch 1200 | Loss: 0.463267
Batch 1225 | Loss: 0.464710
Batch 1250 | Loss: 0.433093
Batch 1275 | Loss: 0.416228
Batch 1300 | Loss: 0.517123
Batch 1325 | Loss: 0.418649
Batch 1350 | Loss: 0.479028
Batch 1375 | Loss: 0.412195
Batch 1400 | Loss: 0.402745
Batch 1425 | Loss: 0.465279
Batch 1450 | Loss: 0.449704
Batch 1475 | Loss: 0.405723
Batch 1500 | Loss: 0.448281
Batch 1525 | Loss: 0.402658
Batch 1550 | Loss: 0.460050
Batch 1575 | Loss: 0.426056
Batch 1600 | Loss: 0.414233
Batch 1625 | Loss: 0.383233
Batch 1650 | Loss: 0.433153
Batch 1675 | Loss: 0.420072
Batch 1700 | Loss: 0.389149
Batch 1725 | Loss: 0.367820
Batch 1750 | Loss: 0.388721
Batch 1775 | Loss: 0.396837
Batch 1800 | Loss: 0.424614
Batch 1825 | Loss: 0.382619
Batch 1850 | Loss: 0.339963
Batch 1875 | Loss: 0.425135
Batch 1900 | Loss: 0.367704
Batch 1925 | Loss: 0.369614
Batch 1950 | Loss: 0.371118
Batch 1975 | Loss: 0.368389
Batch 2000 | Loss: 0.403481
Batch 2025 | Loss: 0.364445
Batch 2050 | Loss: 0.402932
Batch 2075 | Loss: 0.359494
Batch 2100 | Loss: 0.382015
Batch 2125 | Loss: 0.390156
Batch 2150 | Loss: 0.361120
Batch 2175 | Loss: 0.397861
Batch 2200 | Loss: 0.381757
Batch 2225 | Loss: 0.354570
Batch 2250 | Loss: 0.349309
Batch 2275 | Loss: 0.402588
Batch 2300 | Loss: 0.407882
Batch 2325 | Loss: 0.431344
Batch 2350 | Loss: 0.368019
Batch 2375 | Loss: 0.367410
Batch 2400 | Loss: 0.341560
Batch 2425 | Loss: 0.357214
Batch 2450 | Loss: 0.358851
Batch 2475 | Loss: 0.357647
Batch 2500 | Loss: 0.355320
Batch 2525 | Loss: 0.332145
Batch 2550 | Loss: 0.388798
Batch 2575 | Loss: 0.361505
Batch 2600 | Loss: 0.355196
Batch 2625 | Loss: 0.366016
Batch 2650 | Loss: 0.356710
Batch 2675 | Loss: 0.351006
Batch 2700 | Loss: 0.350914
Batch 2725 | Loss: 0.326106
Batch 2750 | Loss: 0.371761
Batch 2775 | Loss: 0.338336
Batch 2800 | Loss: 0.322011
Batch 2825 | Loss: 0.362748
Batch 2850 | Loss: 0.371304
Batch 2875 | Loss: 0.373520
Batch 2900 | Loss: 0.354510
Batch 2925 | Loss: 0.332290
Batch 2950 | Loss: 0.330213
Batch 2975 | Loss: 0.331833
Batch 3000 | Loss: 0.346273
Batch 3025 | Loss: 0.283500
Batch 3050 | Loss: 0.340586
Batch 3075 | Loss: 0.340582
Batch 3100 | Loss: 0.312496
Batch 3125 | Loss: 0.351846
Batch 3150 | Loss: 0.338701
Batch 3175 | Loss: 0.366990
Batch 3200 | Loss: 0.303554
Batch 3225 | Loss: 0.343523
Batch 3250 | Loss: 0.313195
Batch 3275 | Loss: 0.341575
Batch 3300 | Loss: 0.344877
Batch 3325 | Loss: 0.326347
Batch 3350 | Loss: 0.342216
Batch 3375 | Loss: 0.285519
Batch 3400 | Loss: 0.364437
Batch 3425 | Loss: 0.316819
Batch 3450 | Loss: 0.325021
Batch 3475 | Loss: 0.337568
Batch 3500 | Loss: 0.282754
Batch 3525 | Loss: 0.291175
Batch 3550 | Loss: 0.293474
Batch 3575 | Loss: 0.295366
Batch 3600 | Loss: 0.320580
Batch 3625 | Loss: 0.312628
Batch 3650 | Loss: 0.292753
Batch 3675 | Loss: 0.339198
Batch 3700 | Loss: 0.299514
Batch 3725 | Loss: 0.246477
Batch 3750 | Loss: 0.327712
Batch 3775 | Loss: 0.295354
Batch 3800 | Loss: 0.323458
Batch 3825 | Loss: 0.253200
Batch 3850 | Loss: 0.283180
Batch 3875 | Loss: 0.272970
Batch 3900 | Loss: 0.279373
Batch 3925 | Loss: 0.284898
Batch 3950 | Loss: 0.257830
Batch 3975 | Loss: 0.272592
Batch 4000 | Loss: 0.228985
Batch 4025 | Loss: 0.294452
Batch 4050 | Loss: 0.270695
Batch 4075 | Loss: 0.242540
Batch 4100 | Loss: 0.289522
Batch 4125 | Loss: 0.293942
Batch 4150 | Loss: 0.278585
Batch 4175 | Loss: 0.230813
Batch 4200 | Loss: 0.237083
Batch 4225 | Loss: 0.257549
Batch 4250 | Loss: 0.266778
Batch 4275 | Loss: 0.235059
Batch 4300 | Loss: 0.228741
Batch 4325 | Loss: 0.266351
Batch 4350 | Loss: 0.229727
Batch 4375 | Loss: 0.219545
Batch 4400 | Loss: 0.249114
Batch 4425 | Loss: 0.249532
Batch 4450 | Loss: 0.216048
Batch 4475 | Loss: 0.254845
Batch 4500 | Loss: 0.219292
Batch 4525 | Loss: 0.238529
Batch 4550 | Loss: 0.233110
Batch 4575 | Loss: 0.253305
Batch 4600 | Loss: 0.250233
Batch 4625 | Loss: 0.215741
Batch 4650 | Loss: 0.204306
Batch 4675 | Loss: 0.238412
Batch 4700 | Loss: 0.232015
Batch 4725 | Loss: 0.230682
Batch 4750 | Loss: 0.226759
Batch 4775 | Loss: 0.191042
Batch 4800 | Loss: 0.209222
Batch 4825 | Loss: 0.234566
Batch 4850 | Loss: 0.243203
Batch 4875 | Loss: 0.189939
Batch 4900 | Loss: 0.219103
Batch 4925 | Loss: 0.184693
Batch 4950 | Loss: 0.190090
Batch 4975 | Loss: 0.227129
Batch 5000 | Loss: 0.203647
Batch 5025 | Loss: 0.240669
Batch 5050 | Loss: 0.222383
Batch 5075 | Loss: 0.210491
Batch 5100 | Loss: 0.167113
Batch 5125 | Loss: 0.215219
Batch 5150 | Loss: 0.176015
Batch 5175 | Loss: 0.216425
Batch 5200 | Loss: 0.203301
Batch 5225 | Loss: 0.228843
Batch 5250 | Loss: 0.233720
Batch 5275 | Loss: 0.219583
Batch 5300 | Loss: 0.187750
Batch 5325 | Loss: 0.168340
Batch 5350 | Loss: 0.184022
Batch 5375 | Loss: 0.193480
Batch 5400 | Loss: 0.216924
Batch 5425 | Loss: 0.193617
Batch 5450 | Loss: 0.205938
Batch 5475 | Loss: 0.188974
Batch 5500 | Loss: 0.177729
Batch 5525 | Loss: 0.196226
Batch 5550 | Loss: 0.181922
Batch 5575 | Loss: 0.183359
Batch 5600 | Loss: 0.167279
Batch 5625 | Loss: 0.216927
Batch 5650 | Loss: 0.153800
Batch 5675 | Loss: 0.182855
Batch 5700 | Loss: 0.174378
Batch 5725 | Loss: 0.165325
Batch 5750 | Loss: 0.148517
Batch 5775 | Loss: 0.169144
Batch 5800 | Loss: 0.190425
Batch 5825 | Loss: 0.144588
Batch 5850 | Loss: 0.167849
Batch 5875 | Loss: 0.172167
Batch 5900 | Loss: 0.170138
Batch 5925 | Loss: 0.133178
Batch 5950 | Loss: 0.140527
Batch 5975 | Loss: 0.166546
Batch 6000 | Loss: 0.169123
Batch 6025 | Loss: 0.160657
Batch 6050 | Loss: 0.183780
Batch 6075 | Loss: 0.141063
Batch 6100 | Loss: 0.136394
Batch 6125 | Loss: 0.159347
Batch 6150 | Loss: 0.147081
Batch 6175 | Loss: 0.143579
Batch 6200 | Loss: 0.159860
Batch 6225 | Loss: 0.144409
Batch 6250 | Loss: 0.164265
Batch 6275 | Loss: 0.156169
Batch 6300 | Loss: 0.168840
Batch 6325 | Loss: 0.157646
Batch 6350 | Loss: 0.157820
Batch 6375 | Loss: 0.139897
Batch 6400 | Loss: 0.152617
Batch 6425 | Loss: 0.182241
Batch 6450 | Loss: 0.176153
Batch 6475 | Loss: 0.165294
Batch 6500 | Loss: 0.166248
Batch 6525 | Loss: 0.187461
Batch 6550 | Loss: 0.170094
Batch 6575 | Loss: 0.166315
Batch 6600 | Loss: 0.140949
Batch 6625 | Loss: 0.134544
Batch 6650 | Loss: 0.153904
Batch 6675 | Loss: 0.163307
Batch 6700 | Loss: 0.163752
Batch 6725 | Loss: 0.159032
Batch 6750 | Loss: 0.135725
Batch 6775 | Loss: 0.141915
Batch 6800 | Loss: 0.148011
Batch 6825 | Loss: 0.145370
Batch 6850 | Loss: 0.144380
Batch 6875 | Loss: 0.118709
Batch 6900 | Loss: 0.144119
Batch 6925 | Loss: 0.159025
Batch 6950 | Loss: 0.114898
Batch 6975 | Loss: 0.114191
Batch 7000 | Loss: 0.137659
Batch 7025 | Loss: 0.135367
Batch 7050 | Loss: 0.123732
Batch 7075 | Loss: 0.140388
Batch 7100 | Loss: 0.123165
Batch 7125 | Loss: 0.184260
Batch 7150 | Loss: 0.176277
Batch 7175 | Loss: 0.139780
Batch 7200 | Loss: 0.116864
Batch 7225 | Loss: 0.157994
Batch 7250 | Loss: 0.161943
Batch 7275 | Loss: 0.124837
Batch 7300 | Loss: 0.150446
Batch 7325 | Loss: 0.111379
Batch 7350 | Loss: 0.107447
Batch 7375 | Loss: 0.139779
Batch 7400 | Loss: 0.181511
Batch 7425 | Loss: 0.143940
Batch 7450 | Loss: 0.137474
Batch 7475 | Loss: 0.136734
Batch 7500 | Loss: 0.161279
Batch 7525 | Loss: 0.133225
Batch 7550 | Loss: 0.156274
Batch 7575 | Loss: 0.138560
Batch 7600 | Loss: 0.126290
Batch 7625 | Loss: 0.108320
Batch 7650 | Loss: 0.147024
Batch 7675 | Loss: 0.149019
Batch 7700 | Loss: 0.136530
Batch 7725 | Loss: 0.149618
Batch 7750 | Loss: 0.136415
Batch 7775 | Loss: 0.143366
Batch 7800 | Loss: 0.132677
Batch 7825 | Loss: 0.102135
Batch 7850 | Loss: 0.128418
Batch 7875 | Loss: 0.110294
Batch 7900 | Loss: 0.126978
Batch 7925 | Loss: 0.115303
Batch 7950 | Loss: 0.117170
Batch 7975 | Loss: 0.119003
Batch 8000 | Loss: 0.146297
Batch 8025 | Loss: 0.128394
Batch 8050 | Loss: 0.130257
Batch 8075 | Loss: 0.132708
Batch 8100 | Loss: 0.134899
Batch 8125 | Loss: 0.124996
Batch 8150 | Loss: 0.111620
Batch 8175 | Loss: 0.114393
Batch 8200 | Loss: 0.133277
Batch 8225 | Loss: 0.105728
Batch 8250 | Loss: 0.112613
Batch 8275 | Loss: 0.126715
Batch 8300 | Loss: 0.080835
Batch 8325 | Loss: 0.148616
Batch 8350 | Loss: 0.126946
Batch 8375 | Loss: 0.123862
Batch 8400 | Loss: 0.132628
Batch 8425 | Loss: 0.114334
Batch 8450 | Loss: 0.145418
Batch 8475 | Loss: 0.111750
Batch 8500 | Loss: 0.126790
Batch 8525 | Loss: 0.119806
Batch 8550 | Loss: 0.145542
Batch 8575 | Loss: 0.109362
Batch 8600 | Loss: 0.127624
Batch 8625 | Loss: 0.114052
Batch 8650 | Loss: 0.102855
Batch 8675 | Loss: 0.117485
Batch 8700 | Loss: 0.117409
Batch 8725 | Loss: 0.106201
Batch 8750 | Loss: 0.096082
Batch 8775 | Loss: 0.117112
Batch 8800 | Loss: 0.129606
Batch 8825 | Loss: 0.096925
Batch 8850 | Loss: 0.111751
Batch 8875 | Loss: 0.173718
Batch 8900 | Loss: 0.116037
Batch 8925 | Loss: 0.089826
Batch 8950 | Loss: 0.144019
Batch 8975 | Loss: 0.122623
Batch 9000 | Loss: 0.116832
Batch 9025 | Loss: 0.077087
Batch 9050 | Loss: 0.141413
Batch 9075 | Loss: 0.100960
Batch 9100 | Loss: 0.090356
Batch 9125 | Loss: 0.115482
Batch 9150 | Loss: 0.094702
Batch 9175 | Loss: 0.111471
Batch 9200 | Loss: 0.108740
Batch 9225 | Loss: 0.132491
Batch 9250 | Loss: 0.080732
Batch 9275 | Loss: 0.102659
Batch 9300 | Loss: 0.079370
Batch 9325 | Loss: 0.101609
Batch 9350 | Loss: 0.104526
Batch 9375 | Loss: 0.116137
Batch 9400 | Loss: 0.113120
Batch 9425 | Loss: 0.110592
Batch 9450 | Loss: 0.123012
Batch 9475 | Loss: 0.098594
Batch 9500 | Loss: 0.092551
Batch 9525 | Loss: 0.085546
Batch 9550 | Loss: 0.086098
Batch 9575 | Loss: 0.095362
Batch 9600 | Loss: 0.083548
Batch 9625 | Loss: 0.137048
Batch 9650 | Loss: 0.106872
Batch 9675 | Loss: 0.092388
Batch 9700 | Loss: 0.095170
Batch 9725 | Loss: 0.093108
