Training begins…
Epoch 01 | step 0050 | lr 1.53e-05 | train loss 3.5661
Epoch 01 | step 0100 | lr 3.03e-05 | train loss 2.8104
Epoch 01 | step 0150 | lr 4.53e-05 | train loss 2.2795
Epoch 01 | step 0200 | lr 6.03e-05 | train loss 1.9560
Epoch 01 | step 0250 | lr 7.53e-05 | train loss 1.8054
Epoch 01 | step 0300 | lr 9.03e-05 | train loss 1.7062
Epoch 01 | step 0350 | lr 1.05e-04 | train loss 1.6518
Epoch 01 | step 0400 | lr 1.20e-04 | train loss 1.6011
Epoch 01 | step 0450 | lr 1.35e-04 | train loss 1.5578
Epoch 01 | step 0500 | lr 1.50e-04 | train loss 1.5195
Epoch 01 | step 0550 | lr 1.65e-04 | train loss 1.4973
Epoch 01 | step 0600 | lr 1.80e-04 | train loss 1.4644
Epoch 01 | step 0650 | lr 1.95e-04 | train loss 1.4418
Epoch 01 | step 0700 | lr 2.10e-04 | train loss 1.4232
Epoch 01 | step 0750 | lr 2.25e-04 | train loss 1.4102
Epoch 01 | step 0800 | lr 2.40e-04 | train loss 1.3867
Epoch 01 | step 0850 | lr 2.55e-04 | train loss 1.3735
Epoch 01 | step 0900 | lr 2.70e-04 | train loss 1.3612
Epoch 01 | step 0950 | lr 2.85e-04 | train loss 1.3535
Epoch 01 | step 1000 | lr 3.00e-04 | train loss 1.3379
Epoch 01 | step 1050 | lr 3.00e-04 | train loss 1.3252
Epoch 01 | step 1100 | lr 3.00e-04 | train loss 1.3136
Epoch 01 | step 1150 | lr 3.00e-04 | train loss 1.3184
Epoch 01 | step 1200 | lr 3.00e-04 | train loss 1.2986
Epoch 01 | step 1250 | lr 3.00e-04 | train loss 1.2930
Epoch 01 | step 1300 | lr 3.00e-04 | train loss 1.2801
Epoch 01 | step 1350 | lr 3.00e-04 | train loss 1.2757
Epoch 01 | step 1400 | lr 3.00e-04 | train loss 1.2770
Epoch 01 | step 1450 | lr 3.00e-04 | train loss 1.2653
Epoch 01 | step 1500 | lr 3.00e-04 | train loss 1.2606
Epoch 01 | step 1550 | lr 3.00e-04 | train loss 1.2693
Epoch 01 | step 1600 | lr 3.00e-04 | train loss 1.2546
Epoch 01 | step 1650 | lr 3.00e-04 | train loss 1.2499
Epoch 01 | step 1700 | lr 3.00e-04 | train loss 1.2531
Epoch 01 | step 1750 | lr 3.00e-04 | train loss 1.2411
Epoch 01 | step 1800 | lr 3.00e-04 | train loss 1.2423
Epoch 01 | step 1850 | lr 3.00e-04 | train loss 1.2423
Epoch 01 | step 1900 | lr 3.00e-04 | train loss 1.2387
Epoch 01 | step 1950 | lr 3.00e-04 | train loss 1.2307
Epoch 01 | step 2000 | lr 3.00e-04 | train loss 1.2298
Epoch 01 | step 2050 | lr 3.00e-04 | train loss 1.2256
Epoch 01 | step 2100 | lr 3.00e-04 | train loss 1.2266
Epoch 01 | step 2150 | lr 3.00e-04 | train loss 1.2172
Epoch 01 | step 2200 | lr 3.00e-04 | train loss 1.2168
Epoch 01 | step 2250 | lr 3.00e-04 | train loss 1.2260
Epoch 01 | step 2300 | lr 3.00e-04 | train loss 1.2203
Epoch 01 | step 2350 | lr 3.00e-04 | train loss 1.2196
Epoch 01 | step 2400 | lr 3.00e-04 | train loss 1.2144
Epoch 01 | step 2450 | lr 3.00e-04 | train loss 1.2099
Epoch 01 | step 2500 | lr 3.00e-04 | train loss 1.2060
Epoch 01 | step 2550 | lr 3.00e-04 | train loss 1.2144
Epoch 01 | step 2600 | lr 3.00e-04 | train loss 1.2018
Epoch 01 | step 2650 | lr 3.00e-04 | train loss 1.2063
Epoch 01 | step 2700 | lr 3.00e-04 | train loss 1.2013
Epoch 01 | step 2750 | lr 3.00e-04 | train loss 1.2016
Epoch 01 | step 2800 | lr 3.00e-04 | train loss 1.1983
Epoch 01 | step 2850 | lr 3.00e-04 | train loss 1.2001
Epoch 01 | step 2900 | lr 3.00e-04 | train loss 1.1977
Epoch 01 | step 2950 | lr 3.00e-04 | train loss 1.1938
Epoch 01 | step 3000 | lr 3.00e-04 | train loss 1.1931
Epoch 01 | step 3050 | lr 3.00e-04 | train loss 1.1892
Epoch 01 | step 3100 | lr 3.00e-04 | train loss 1.1918
Epoch 01 | step 3150 | lr 3.00e-04 | train loss 1.1888
Epoch 01 | step 3200 | lr 3.00e-04 | train loss 1.1880
Epoch 01 | step 3250 | lr 3.00e-04 | train loss 1.1951
Epoch 01 | step 3300 | lr 3.00e-04 | train loss 1.1878
Epoch 01 | step 3350 | lr 3.00e-04 | train loss 1.1848
Epoch 01 | step 3400 | lr 3.00e-04 | train loss 1.1873
Epoch 01 | step 3450 | lr 3.00e-04 | train loss 1.1867
Epoch 01 | step 3500 | lr 3.00e-04 | train loss 1.1842
Epoch 01 | step 3550 | lr 3.00e-04 | train loss 1.1838
Epoch 01 | step 3600 | lr 3.00e-04 | train loss 1.1814
Epoch 01 | step 3650 | lr 3.00e-04 | train loss 1.1841
Epoch 01 | step 3700 | lr 3.00e-04 | train loss 1.1831
Epoch 01 | step 3750 | lr 3.00e-04 | train loss 1.1845
Epoch 01 | step 3800 | lr 3.00e-04 | train loss 1.1787
Epoch 01 | step 3850 | lr 3.00e-04 | train loss 1.1795
Epoch 01 | step 3900 | lr 3.00e-04 | train loss 1.1751
Epoch 01 | step 3950 | lr 3.00e-04 | train loss 1.1800
Epoch 01 | step 4000 | lr 3.00e-04 | train loss 1.1716
Epoch 01 | step 4050 | lr 3.00e-04 | train loss 1.1786
Epoch 01 | step 4100 | lr 3.00e-04 | train loss 1.1734
Epoch 01 | step 4150 | lr 3.00e-04 | train loss 1.1737
Epoch 01 | step 4200 | lr 3.00e-04 | train loss 1.1731
Epoch 01 | step 4250 | lr 3.00e-04 | train loss 1.1667
Epoch 01 | step 4300 | lr 3.00e-04 | train loss 1.1751
